"","prolific_id","message_framing","nudge","letter","allocated_wild_300","allocated_uk_300","alt","sympathy","behaviour","sufficiency","financial","flood","climate_change","climate_scores","social_norm","social_norm_donation","ego","efficacy","finance_security","experience","connectedness","gender","age","ethnicity","other_ethn","education","MD_index","education_rank"
"234","5c9ffacadae4e80017befac6","es-global","absent","E",0.333333333333333,0.333333333333333,0.333333333333333,33,53,17,-0.961079515973442,0,17,-0.402639543362157,29,10,14,12,5.25,18,3.66666666666667,"(3) Male",49.5,"(1) White or Caucasian","0","(2) O-level/GCSE or equivalent including vocational equivalents",8,2
"235","5be373e07e3c9b0001c4d434","biodiversity","present","B",0.166666666666667,0.833333333333333,0,26,56,13,-0.423699887801965,14,33,-2.35122693088288,21,50,12,13,11.5,20,5,"(3) Male",39.5,"(1) White or Caucasian","0","(5) Higher degree",8,5
"236","596dbcf1d6c8550001484401","biodiversity","absent","A",0.5,0.333333333333333,0.166666666666667,35,56,6,-0.518242006520403,2,16,-0.286425672687199,32,5,16,13,8.5,21,4.83333333333333,"(3) Male",49.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",9,3
"237","5cb08b95600ba80012133399","es-global","absent","E",0.25,0.5,0.25,33,49,15,-0.786931820606142,0,7,0.829975726412065,38,10,13,11,15.75,20,2.66666666666667,"(1) Female",69.5,"(1) White or Caucasian","0","(4) Undergraduate degree",9,4
"238","5ac64d0b9534ba0001c74f5c","es-global","present","F",0.333333333333333,0.666666666666667,0,29,51,7,-0.757785994962363,0,25,-1.34000286375711,21,5,16,12,7.5,18,5.16666666666667,"(1) Female",29.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",6,3
"239","5e5e7ad759df371a0962f255","biodiversity","present","B",0.333333333333333,0.5,0.166666666666667,26,39,6,0.886922378706986,12,13,0.0443893522773509,30,5,27,11,7.25,26,6.33333333333333,"(3) Male",49.5,"(1) White or Caucasian","0","(5) Higher degree",7,5
"240","5793b19ac9abeb0001af4638","biodiversity","present","B",0.466666666666667,0.466666666666667,0.0666666666666667,32,36,15,-0.659126542870738,0,0,1.63499068092482,14,5,24,9,10,16,3.66666666666667,"(3) Male",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",5,4
"241","5d0a5e869b4ee500013d5575","es-local","present","D",0.333333333333333,0.333333333333333,0.333333333333333,32,54,16,1.07185569413735,0,30,-2.0127703913963,30,10,9,14,6.75,26,5.16666666666667,"(3) Male",39.5,"(1) White or Caucasian","0","(5) Higher degree",1,5
"242","59d4fb316cc82800013e32d3","biodiversity","present","B",0.416666666666667,0.333333333333333,0.25,18,35,0,-1.09187210212276,0,6,0.864687335834176,15,2,19,12,16,30,4.33333333333333,"(3) Male",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",3,4
"243","5772908d908f1d0001c38893","biodiversity","present","B",0,1,0,11,23,0,-1.09187210212276,0,0,1.63499068092482,20,0,40,0,14.75,40,4.66666666666667,"(1) Female",39.5,"(1) White or Caucasian","0","(4) Undergraduate degree",7,4
"244","5e77733a2e31442cbf638265","biodiversity","present","B",0.333333333333333,0.333333333333333,0.333333333333333,33,41,4,-0.924829048542562,0,3,1.29653414143824,10,0,25,3,16.25,40,4.83333333333333,"(3) Male",49.5,"(1) White or Caucasian","0","(5) Higher degree",4,5
"245","5df949516aab7c6d439e09e1","biodiversity","absent","A",0,0.5,0.5,23,22,20,-1.09187210212276,0,3,1.27021457369271,28,5,11,10,9,21,4.83333333333333,"(1) Female",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",6,4
"246","5df107f801423f000ddb0101","es-local","present","D",0.5,0.5,0,39,88,5,0.578558433679229,0,8,0.701873850872471,32,5,23,16,13.75,39,5.33333333333333,"(3) Male",59.5,"(1) White or Caucasian","0","(5) Higher degree",7,5
"247","5c7da4066babcb000185028b","es-global","absent","E",0.266666666666667,0.5,0.233333333333333,35,58,13,-0.314948485509324,0,10,0.438880051434423,34,3,17,9,5.75,20,3.16666666666667,"(3) Male",49.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",6,3
"248","5d8f59c15231090015a7ae08","es-global","present","F",0.333333333333333,0.333333333333333,0.333333333333333,32,74,16,1.18843899671247,34,12,0.216637382622798,32,10,9,18,10.75,30,5.66666666666667,"(3) Male",49.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",2,3
"249","5bfa91cf26e31d00010462ed","biodiversity","present","B",1,0,0,28,32,2,-0.87549932249675,1,3,1.29653414143824,23,1,37,11,19.5,17,5.5,"(3) Male",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",4,4
"250","5c897696146e370001e063c9","es-global","present","F",0.5,0.333333333333333,0.166666666666667,35,63,11,1.07185569413735,8,7,0.811297673188568,28,5,23,12,16.75,30,5.33333333333333,"(3) Male",39.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",7,3
"251","5e861e3aad5d5a23ed166c23","es-local","present","D",0.166666666666667,0.5,0.333333333333333,30,75,5,-0.387449420371085,0,10,0.420201998210927,24,10,24,15,17,40,4.33333333333333,"(1) Female",29.5,"(2) Other","0","(4) Undergraduate degree",2,4
"252","5dc7f4daa6eae358b81c34d9","biodiversity","absent","A",0.166666666666667,0.5,0.333333333333333,34,73,12,0.0553880890819546,0,10,0.438880051434423,26,10,9,4,6,40,5.5,"(3) Male",49.5,"(1) White or Caucasian","0","(4) Undergraduate degree",9,4
"253","5d59a10aa17f570017307126","biodiversity","present","B",0.333333333333333,0.333333333333333,0.333333333333333,37,84,12,-0.554492473951284,3,2,1.39067493471027,29,2,16,11,13.75,37,4.66666666666667,"(3) Male",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",5,4
